"ObservationDate","Province/State","Country/Region","Confirmed","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Doses_admin","People_partially_vaccinated","People_fully_vaccinated","Prediction (Confirmed)"
"2021-02-10","Shimane","Japan",284,-4,-1,16,-16,-1,1,0,0,0,1145.3723124900926
"2021-02-10","La Rioja","Spain",26992,-61,-6,-13,-41,-19,10,2320507,1377229,943278,27200.894885707294
"2021-02-10","Zeeland","Netherlands",15021,-50.857142857142854,-0.42857142857142855,-18.5,-51.6,-30.928571428571427,11.666666666666666,571145,504736,66409,13478.939939586422
"2021-02-10","La Guajira","Colombia",15951,-33.666666666666664,-28.5,-27.333333333333332,-17.5,-13.625,9,0,0,0,17331.78179830064
"2021-02-10","Balochistan","Pakistan",18898,8,13,-16,12,-1,-5,27228,27228,0,35702.74187931318
"2021-02-10","Basilicata","Italy",13901,-29.666666666666668,2.3333333333333335,-14.666666666666666,-43.666666666666664,-23,8.333333333333334,2834463,1561640,1272823,13068.563607650158
"2021-02-10","Berlin","Germany",123735,-60,-10,2,-45,-43,16,3785820,2528079,1257741,117871.87820920233
"2021-02-10","Bihar","India",261511,-11,26.5,-6.54054054054054,1.236842105263158,-2.5,7.657894736842105,7017114,7017114,0,254954.24184792867
"2021-02-10","Bolivar","Colombia",65414,-40.5,-3.6666666666666665,-29.833333333333332,-45,-13,8.5,0,0,0,57230.594793641285
"2021-02-10","Boyaca","Colombia",43994,-32.285714285714285,8.6,-36.57142857142857,-30,-12.083333333333334,11.5,0,0,0,33676.08805605215
"2021-02-10","Brandenburg","Germany",72195,-46,-5,2,-37,-27,12,3785820,2528079,1257741,64347.21755103733
"2021-02-10","Bremen","Germany",16720,-57,-10,2,-46,-32,13,3785820,2528079,1257741,18001.611614650916
"2021-02-10","British Columbia","Canada",71856,-24.791666666666668,-6.181818181818182,-14.714285714285714,-46.23076923076923,-20.703703703703702,10.375,1154277,930286,223991,66887.52238861998
"2021-02-10","Brussels","Belgium",90503,-55,-10,-16,-49,-46,16,536070,371601,164592,100023.09842355122
"2021-02-10","Cajamarca","Peru",29842,-36.666666666666664,-8.5,-30.125,-53.333333333333336,-21.444444444444443,14.666666666666666,20437,20437,0,35859.32233715758
"2021-02-10","Calabria","Italy",34735,-25.5,5,-5,-28.8,-26.666666666666668,7.5,2834463,1561640,1272823,29651.4206460491
"2021-02-10","Caldas","Colombia",45551,-34,-6.5,-30.363636363636363,-28.5,-20.11111111111111,8.6,0,0,0,37241.963937745466
"2021-02-10","Campania","Italy",236231,-35.333333333333336,-5,-46,-44.5,-29,9.833333333333334,2834463,1561640,1272823,220150.38345576954
"2021-02-10","Campeche","Mexico",8155,-31,-11,-41,-34,-30,10,724707,640115,84592,12035.047836122601
"2021-02-10","Cantabria","Spain",23527,-34,2,11,-24,-16,7,2320507,1377229,943278,23229.399826965044
"2021-02-10","Casanare","Colombia",11886,-30.666666666666668,-6,-30.571428571428573,-33,-5,9,0,0,0,11660.331854078095
"2021-02-10","Catalonia","Spain",537456,-38.6,1.2,-10.6,-25.6,-20.6,8.6,2320507,1377229,943278,411281.8959097095
"2021-02-10","Cesar","Colombia",39424,-30.5,-2.3333333333333335,-21.571428571428573,-37.5,-10.7,4.666666666666667,0,0,0,34239.19835799924
"2021-02-10","Chandigarh","India",21171,-28,-8,-33,1,-22,5,7017114,7017114,0,20911.484743392117
"2021-02-10","Chhattisgarh","India",308218,-17.75,19.681818181818183,-9.64,0.28,-16.5,6.92,7017114,7017114,0,294172.539065727
"2021-02-10","Chiapas","Mexico",9670,-25,-2,-42,-32,-26,9,724707,640115,84592,14984.432224560338
"2021-02-10","Baja California Sur","Mexico",24756,-32,-15,-33,-26,-29,9,724707,640115,84592,26388.95150177133
"2021-02-10","Baja California","Mexico",43337,-24,-1,-33,-26,-21,8,724707,640115,84592,46374.79242181347
"2021-02-10","Ayacucho","Peru",17592,-26,6.5,-33.8,-62.5,-20.333333333333332,19,20437,20437,0,25025.030311748666
"2021-02-10","Abruzzo","Italy",46147,-29.4,-2.8,-19.2,-32.4,-25.4,9.6,2834463,1561640,1272823,42712.23550036993
"2021-02-10","Aguascalientes","Mexico",21921,-27,-8,-43,-42,-25,10,724707,640115,84592,23911.516199473954
"2021-02-10","Aichi","Japan",24961,-16,-2,-12,-27,-9,5,0,0,0,17619.686672296415
"2021-02-10","Akita","Japan",269,-2,3,4,-19,-6,1,0,0,0,728.7017564095804
"2021-02-10","Alberta","Canada",127570,-32.6,-9,-45,-50.57142857142857,-27.94736842105263,12.588235294117647,1154277,930286,223991,125295.21910764086
"2021-02-10","Ancash","Peru",39176,-53.5,-36.333333333333336,-44,-67,-38.111111111111114,19.666666666666668,20437,20437,0,50465.17872957948
"2021-02-10","Andalusia","Spain",448767,-47.77777777777778,-9.222222222222221,-40.111111111111114,-35.44444444444444,-22.555555555555557,10.777777777777779,2320507,1377229,943278,332327.2559323344
"2021-02-10","Andhra Pradesh","India",888605,-16.5,34.714285714285715,-16.714285714285715,-7.428571428571429,-5.714285714285714,5.928571428571429,7017114,7017114,0,879580.8944144708
"2021-02-10","Antioquia","Colombia",333507,-20.055555555555557,-1.8181818181818181,-28.822222222222223,-32.875,-15.318181818181818,7.2,0,0,0,204150.45914251718
"2021-02-10","Chiba","Japan",24145,-16,1,-3,-32,-15,8,0,0,0,16041.474895031206
"2021-02-10","Antofagasta","Chile",33917,-46,-24.333333333333332,-53,-34,-24.25,13.666666666666666,1409162,1356507,52655,41860.53291035893
"2021-02-10","Apurimac","Peru",10207,-45.333333333333336,-52,-46.5,-65.5,-29.5,26.666666666666668,20437,20437,0,12418.10582816184
"2021-02-10","Aragon","Spain",102509,-33.5,1.75,-6.75,-35.25,-15.25,6.5,2320507,1377229,943278,96003.90888130278
"2021-02-10","Arauca","Colombia",5469,5,10.5,-9.333333333333334,-14.5,-0.2,7.5,0,0,0,7936.996611238784
"2021-02-10","Araucania","Chile",34523,-35.333333333333336,-12.666666666666666,-16.666666666666668,-13,-22,12,1409162,1356507,52655,33443.49921004293
"2021-02-10","Arequipa","Peru",55877,-37.25,-14.8,-34.714285714285715,-48.6,-24.166666666666668,15.666666666666666,20437,20437,0,81432.40524802869
"2021-02-10","Arica y Parinacota","Chile",13747,-57.5,-24.5,-63.5,-41.5,-27,16,1409162,1356507,52655,23628.429792089213
"2021-02-10","Arunachal Pradesh","India",16831,-39.666666666666664,23.5,-6,30.5,-30.333333333333332,0.6666666666666666,7017114,7017114,0,12502.875053307624
"2021-02-10","Assam","India",217267,-8.321428571428571,18.59259259259259,4,-2.642857142857143,-4.5,5.535714285714286,7017114,7017114,0,210154.25576875955
"2021-02-10","Asturias","Spain",40445,-44,-1,36,-23,-22,8,2320507,1377229,943278,35226.645187538634
"2021-02-10","Atacama","Chile",10870,-41.25,-18,-23.75,-36.75,-25,13.333333333333334,1409162,1356507,52655,15451.030734697477
"2021-02-10","Atlantico","Colombia",119007,-34.5,-3,-26.833333333333332,-37.5,-14.636363636363637,9.333333333333334,0,0,0,104601.51561284615
"2021-02-10","Australian Capital Territory","Australia",118,-8,1,-4,-21,-1,3,0,0,0,1173.7154592920194
"2021-02-10","Aomori","Japan",790,2,4,-12,-16,-5,1,0,0,0,1089.841492557638
"2021-02-10","Chihuahua","Mexico",41652,-25,-3,-35,-43,-19,8,724707,640115,84592,42154.326754592876
